Date,Open,High,Low,Close,Adj Close,Volume,Day
11/18/2014,187.479996,188.820007,187.479996,188.509995,159.798904,1252600,182
11/19/2014,188.25,188.479996,187.369995,188.169998,159.510727,1880800,183
11/20/2014,187.289993,188.639999,187.289993,188.509995,159.798904,866800,184
11/21/2014,190.429993,190.479996,188.949997,189.570007,160.697479,1586200,185
11/24/2014,190.020004,190.210007,189.770004,190.059998,161.112885,1365900,186
11/25/2014,190.339996,190.559998,189.660004,190,161.061996,1736700,187
11/26/2014,190.100006,190.520004,189.880005,190.440002,161.435043,824400,188
11/28/2014,190.300003,190.630005,189.759995,190.029999,161.087463,430200,189
12/1/2014,189.289993,189.389999,188.360001,188.729996,159.985413,2083600,190
12/2/2014,188.710007,190.130005,188.710007,189.919998,160.994156,1446800,191
12/3/2014,190.100006,190.880005,189.970001,190.649994,161.612976,2240100,192
12/4/2014,190.350006,190.990005,189.570007,190.460007,161.451981,1573000,193
12/5/2014,190.649994,191.190002,190.350006,190.800003,161.740189,2215900,194
12/8/2014,190.350006,190.830002,188.850006,189.5,160.638199,1527800,195
12/9/2014,187.429993,189.470001,186.979996,189.350006,160.511002,1763100,196
12/10/2014,188.860001,188.860001,186.100006,186.380005,157.993347,1749800,197
12/11/2014,186.979996,189.070007,186.809998,187.25,158.73082,1972600,198
12/12/2014,186,186.899994,184.169998,184.210007,156.153854,2614400,199
12/15/2014,185.259995,185.720001,182.270004,182.929993,155.068771,2801400,200
12/16/2014,182.100006,185.539993,181.440002,181.520004,153.873566,3837500,201
12/17/2014,181.970001,185.550003,181.839996,185.179993,156.976074,5588600,202
12/18/2014,186.740005,188.580002,186,188.550003,159.83287,3820200,203
12/19/2014,189.289993,190.130005,188.589996,189.419998,160.570343,1800800,204
12/22/2014,189.570007,190.259995,189.339996,190.259995,161.282425,3005800,205
12/23/2014,190.940002,190.970001,190.300003,190.550003,161.528198,1926800,206
12/24/2014,190.809998,191.050003,190.5,190.529999,161.511292,952700,207
12/26/2014,191.059998,191.520004,190.990005,191.149994,162.036819,650300,208
12/29/2014,190.970001,191.630005,190.899994,191.419998,162.265701,878600,209
12/30/2014,190.949997,191.089996,190.300003,190.380005,161.384125,3224500,210
12/31/2014,190.75,190.910004,188.380005,188.399994,159.705688,1366000,211
1/2/2015,189.289993,189.720001,187.259995,188.399994,159.705688,1865000,212
1/5/2015,187.259995,187.410004,184.660004,185.089996,156.899826,2734700,213
1/6/2015,185.369995,185.880005,182.360001,183.270004,155.357025,2245300,214
1/7/2015,184.729996,185.910004,184.229996,185.559998,157.298264,2305600,215
1/8/2015,187.130005,189.050003,187.070007,188.820007,160.061737,1740600,216
1/9/2015,189.300003,189.339996,186.649994,187.229996,158.713867,2525200,217
1/12/2015,187.460007,187.600006,185.190002,185.839996,157.535629,1847500,218
1/13/2015,187.220001,188.410004,183.899994,185.350006,157.120209,2158500,219
1/14/2015,183.100006,184.399994,182.110001,184.259995,156.196213,5216300,220
1/15/2015,184.880005,185.25,182.399994,182.539993,154.738174,1940700,221
1/16/2015,182.309998,185.080002,182.089996,184.800003,156.653976,1472800,222
1/20/2015,185.619995,185.899994,183.580002,185.259995,157.04393,1637600,223
1/21/2015,184.770004,186.740005,184.300003,186.229996,157.866196,1586500,224
1/22/2015,187.089996,189.149994,185.600006,189.080002,160.28212,6074900,225
1/23/2015,188.720001,189.020004,187.789993,188.039993,159.400528,3109800,226
1/26/2015,187.789993,188.509995,186.929993,188.410004,159.714188,2018000,227
1/27/2015,186.139999,187.179993,185.020004,185.940002,157.620407,1979100,228
1/28/2015,187.270004,187.320007,183.350006,183.490005,155.543564,2530800,229
1/29/2015,183.740005,185.529999,182.210007,185.270004,157.052368,4338200,230
1/30/2015,183.960007,185.380005,182.630005,182.990005,155.119659,2302500,231
2/2/2015,183.5,185.259995,181.470001,185.089996,156.899826,3397800,232
2/3/2015,186.130005,187.860001,185.789993,187.789993,159.188583,1435000,233
2/4/2015,187.029999,188.350006,186.649994,187.149994,158.646057,1861200,234
2/5/2015,187.889999,189.190002,187.850006,189.050003,160.256744,1033800,235
2/6/2015,189.490005,190.050003,187.940002,188.520004,159.807434,1454700,236
2/9/2015,187.809998,188.589996,187.220001,187.660004,159.0784,2289300,237
2/10/2015,188.820007,189.929993,187.850006,189.660004,160.773804,1798000,238
2/11/2015,189.509995,190.229996,188.779999,189.789993,160.883987,1744400,239
2/12/2015,190.699997,191.649994,190.470001,191.550003,162.375961,2008500,240
2/13/2015,191.720001,192.440002,191.460007,192.389999,163.087997,1073100,241
2/17/2015,192.070007,192.880005,191.789993,192.699997,163.350815,1700400,242
2/18/2015,192.279999,192.779999,192,192.740005,163.384659,1863000,243
2/19/2015,192.089996,192.970001,191.889999,192.610001,163.27449,1017600,244
2/20/2015,192.130005,193.820007,191.449997,193.779999,164.266312,1374000,245
2/23/2015,193.490005,193.729996,193.029999,193.729996,164.223923,1497700,246
2/24/2015,193.690002,194.490005,193.429993,194.300003,164.707123,1244200,247
2/25/2015,194.139999,194.649994,193.710007,194.089996,164.529053,1983600,248
2/26/2015,193.990005,194.149994,193.210007,193.869995,164.34256,994200,249
2/27/2015,193.770004,194.050003,193.190002,193.199997,163.774628,966600,250
3/2/2015,193.309998,194.470001,193.300003,194.470001,164.851196,1016600,251
3/3/2015,193.960007,194.020004,192.690002,193.639999,164.147598,1388100,252
3/4/2015,193,193.050003,191.729996,192.830002,163.460983,1497500,253
3/5/2015,193.149994,193.330002,192.479996,193.039993,163.639038,1135800,254
3/6/2015,192,192.550003,189.940002,190.309998,161.324783,1815600,255
3/9/2015,190.520004,191.470001,190.419998,191.119995,162.011444,1132000,256
3/10/2015,189.570007,189.630005,187.970001,187.979996,159.34967,2390500,257
3/11/2015,188.259995,188.470001,187.470001,187.539993,158.976685,1857500,258
3/12/2015,188.210007,190,188.199997,189.960007,161.028122,2646900,259
3/13/2015,189.679993,189.789993,187.619995,188.800003,160.044754,1792200,260
3/16/2015,189.589996,191.380005,189.550003,191.380005,162.231812,1054700,261
3/17/2015,190.479996,191.130005,189.830002,190.729996,161.680801,1460900,262
